epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2742.3,0.77993,1.99182,1.36536,1.11723,0.69379,0.76762,0.7761,0.60747,0.78782,0.7052,0.75736,0.48754,0.66083,1.42331,0.9924,1.05442,0.00332907,0.00332907,0.00332907
2,6313.79,0.72316,1.57396,0.85079,1.05693,0.67319,0.3356,0.33079,0.25762,0.71874,0.3244,0.3277,0.21079,0.68969,1.39671,0.79347,1.08418,0.00660744,0.00660744,0.00660744
3,10061,0.75613,1.55204,0.75155,1.08522,0.8997,0.74632,0.79777,0.6049,0.86086,0.7152,0.74205,0.47446,0.78228,1.39915,0.63306,1.12063,0.00983081,0.00983081,0.00983081
4,14148.4,0.74131,1.53092,0.6976,1.08438,0.87636,0.9022,0.96207,0.79536,0.89483,0.88492,0.94054,0.64526,0.61776,1.16847,0.54955,1.01084,0.0097525,0.0097525,0.0097525
5,18292,0.67508,1.42954,0.60314,1.05756,0.87289,0.9146,0.95908,0.7986,0.89956,0.90996,0.94231,0.63641,0.61513,1.22198,0.49179,1.03376,0.00967,0.00967,0.00967
6,22728.6,0.64426,1.3793,0.5581,1.04113,0.90429,0.9516,0.98118,0.84817,0.92192,0.9412,0.97368,0.6771,0.543,1.11204,0.42946,0.98307,0.0095875,0.0095875,0.0095875
7,27705.1,0.62574,1.34115,0.53121,1.03267,0.8567,0.9896,0.9765,0.86115,0.88991,0.9414,0.96896,0.69806,0.49056,1.01489,0.41506,0.95547,0.009505,0.009505,0.009505
8,33159.4,0.60851,1.31541,0.50705,1.02439,0.8997,0.91317,0.96483,0.86051,0.90988,0.91679,0.95338,0.68764,0.48356,1.02343,0.39217,0.94373,0.0094225,0.0094225,0.0094225
9,39091.5,0.59738,1.28912,0.49222,1.01998,0.93478,0.8636,0.96624,0.8673,0.91289,0.925,0.96841,0.71361,0.4699,0.99932,0.43219,0.94194,0.00934,0.00934,0.00934
10,46151.6,0.58705,1.26786,0.48005,1.01396,0.90762,0.9756,0.98235,0.90519,0.92002,0.967,0.98019,0.74629,0.42331,0.90751,0.32656,0.90712,0.0092575,0.0092575,0.0092575
11,58030.8,0.57704,1.25517,0.46278,1.00588,0.86343,0.9932,0.97827,0.8922,0.9134,0.94505,0.98221,0.73516,0.44338,0.93504,0.35373,0.91464,0.009175,0.009175,0.009175
12,66851.4,0.56909,1.24106,0.45513,1.00186,0.94016,0.971,0.98766,0.90679,0.94628,0.9584,0.98791,0.75536,0.42029,0.90659,0.30516,0.903,0.0090925,0.0090925,0.0090925
13,77046.4,0.56497,1.23706,0.4497,0.99989,0.86075,0.99148,0.97834,0.90443,0.88341,0.96682,0.98233,0.75665,0.4016,0.88916,0.34185,0.89442,0.00901,0.00901,0.00901
14,110660,0.55694,1.21721,0.44266,0.99753,0.86216,0.9966,0.97738,0.90301,0.89791,0.96391,0.9813,0.75215,0.40249,0.89672,0.33915,0.89305,0.0089275,0.0089275,0.0089275
15,190271,0.55314,1.20953,0.43614,0.99505,0.85557,0.99164,0.97083,0.89725,0.87773,0.97343,0.97876,0.75546,0.39996,0.89304,0.37803,0.89411,0.008845,0.008845,0.008845
16,2053.98,0.56623,1.22481,0.44801,0.99857,0.85952,0.99,0.97925,0.90749,0.90321,0.9574,0.97953,0.76032,0.38872,0.86793,0.32272,0.88577,0.0087625,0.0087625,0.0087625
17,4729.19,0.56743,1.22741,0.44895,1.00033,0.86012,0.99856,0.97882,0.90846,0.90024,0.95651,0.98304,0.76109,0.39249,0.87088,0.32046,0.88792,0.00868,0.00868,0.00868
18,7853.56,0.56111,1.2187,0.44212,0.99606,0.86411,0.994,0.98206,0.91503,0.91535,0.9508,0.98492,0.77033,0.38493,0.85434,0.30347,0.88281,0.0085975,0.0085975,0.0085975
19,11573.8,0.55836,1.2145,0.44176,0.99547,0.90318,0.9534,0.9822,0.91606,0.91939,0.95577,0.9857,0.77222,0.37917,0.8566,0.30078,0.88078,0.008515,0.008515,0.008515
20,15604.3,0.55329,1.19887,0.43475,0.99237,0.90073,0.95273,0.97803,0.91341,0.92449,0.9403,0.97968,0.77186,0.37564,0.84173,0.295,0.87836,0.0084325,0.0084325,0.0084325
21,19784.6,0.54803,1.19999,0.43105,0.9911,0.8998,0.9636,0.98291,0.91848,0.92441,0.94902,0.98565,0.77824,0.37686,0.83759,0.29265,0.87781,0.00835,0.00835,0.00835
22,24470.2,0.54888,1.19005,0.42906,0.99241,0.90042,0.9524,0.97624,0.91158,0.92347,0.9372,0.9749,0.77206,0.37373,0.83358,0.28841,0.87657,0.0082675,0.0082675,0.0082675
23,29058.3,0.54205,1.182,0.42542,0.9858,0.90707,0.9646,0.98389,0.92102,0.92361,0.95755,0.98665,0.78239,0.37438,0.83032,0.28713,0.87623,0.008185,0.008185,0.008185
24,33542.6,0.54101,1.1808,0.42159,0.9881,0.90225,0.96368,0.98315,0.91921,0.91928,0.9602,0.98618,0.78222,0.37655,0.82889,0.28881,0.87714,0.0081025,0.0081025,0.0081025
25,39088.9,0.53908,1.17335,0.41679,0.98454,0.90157,0.9622,0.983,0.9195,0.91897,0.96,0.98617,0.78265,0.3748,0.82557,0.28792,0.876,0.00802,0.00802,0.00802
26,45769.7,0.53368,1.17352,0.41226,0.98219,0.89421,0.952,0.97663,0.91292,0.9143,0.94743,0.97919,0.77625,0.37288,0.82369,0.29193,0.87539,0.0079375,0.0079375,0.0079375
27,55522.1,0.53078,1.16124,0.41152,0.97916,0.86548,0.98179,0.97639,0.9132,0.91057,0.95,0.979,0.77712,0.37241,0.82134,0.29209,0.87514,0.007855,0.007855,0.007855
28,70640.3,0.5311,1.15966,0.41182,0.98195,0.86564,0.9822,0.97644,0.91448,0.91169,0.94774,0.97909,0.77853,0.36886,0.8178,0.29091,0.87363,0.0077725,0.0077725,0.0077725
